TRANSACAO,MUNICIPIO,DATA_ATUALIZACAO,ORDEM_ORIGINAL
2AFD001B-E069-0B62-6E4F-16B484E6C44E,Ananindeua,18/01/2022,18
3381ED61-CDAF-60F7-4873-8CBC9BE4E84A,Ananindeua,26/08/2020,21
C2C86A41-B2D3-3B47-CD9B-FA1811A04528,Anápolis,16/03/2020,80
4FEEF551-D714-DA10-B6BA-94E24F741109,Belford Roxo,30/06/2021,32
CEB536E8-67E4-65A1-A499-0628C872B6F2,Belo Horizonte,23/11/2021,83
951605EA-F7C6-610F-C26C-04D1521E95A7,Betim,25/02/2022,65
3CA28036-758E-D4CC-821F-580D17618661,Cabo de Santo Agostinho,31/05/2021,24
71E8A672-699D-5CEE-B098-260B30E37B0E,Camaragibe,03/07/2021,47
84DF58C5-DE0D-EDA0-58B3-B65845B0AB0B,Campinas,07/05/2020,59
1DE97D6A-936E-1BDA-5490-2690F3B7193E,Campinas,09/10/2020,12
7F34BE4B-3FE5-75BC-4ADE-AD296C337A7B,Campinas,11/05/2020,54
9404FEEB-7CFC-D974-5B2B-7C4D2619559C,Carapicuíba,11/07/2020,63
268A870E-9718-6541-1978-A13742DA9891,Castanhal,06/05/2020,15
F75CE4E3-F00F-FBB5-FC7D-77E4E1943B97,Chapecó,05/05/2020,98
8F5D21F1-9FBA-16CC-8ABE-0F1BF77A2C37,Codó,23/05/2020,61
7B762616-853A-FCB7-9809-492F1044EC31,Colombo,13/05/2020,50
7D19352C-E3C7-82B6-E275-BA97DA887D5D,Contagem,21/04/2021,52
723AEE38-B8BC-627B-3BC6-2A1093D31D6F,Contagem,24/04/2020,48
13D992C1-2790-F738-02F2-005F30C22E6D,Crato,07/09/2020,7
3DFF32C3-199A-E1FF-6599-FA214998F862,Crato,29/04/2021,25
D46CD2C2-D549-0DC2-1E26-93BA40EFD31A,Criciúma,06/04/2020,87
51352B24-0F0E-C7F1-73B1-E0EA96B11505,Diadema,05/01/2021,33
294518E6-6419-19B7-4AA0-D9810381A574,Diadema,08/06/2020,17
8433AE01-027B-BB6B-E1EB-0486D934B284,Diadema,20/01/2021,58
CC434F07-40A5-0D23-E286-D50635AAAFE6,Diadema,26/12/2021,81
632E697A-7361-FB24-41B6-7133DBC2C913,Divinópolis,06/09/2021,40
686F11FB-7BB5-FD35-B6CB-545758ECE077,Divinópolis,07/10/2020,44
639C6332-41B6-D58C-0FAC-B1A7B5291D1D,Divinópolis,10/12/2020,41
02CF260D-4724-7C67-B589-3C99D7699361,Duque de Caxias,14/03/2021,1
1927699A-2E96-E3DF-34BA-4E71914BF8B7,Feira de Santana,06/12/2020,10
E488A3D5-13B2-9637-CACC-17EEEEA62162,Feira de Santana,15/07/2020,88
2C0BB274-2D3E-CBF8-2E41-05D07FECB6ED,Feira de Santana,21/03/2020,20
4267E5F8-86C8-7D17-9268-4801E02FA535,Feira de Santana,21/05/2021,27
559B1991-4223-C07B-781A-3ECF3927210B,Fortaleza,23/07/2021,34
1B2BD25A-6B00-682C-62F0-276E9CAEB918,Guarulhos,07/03/2021,11
9D04CB6E-EF04-4C82-2544-B99E534C97D1,Guarulhos,13/11/2021,66
A42A8BDD-DB84-CDB4-919A-85A3070D6A54,Ilhéus,15/04/2021,70
4E4719E1-76A9-BE35-0DD9-37BE49F1C33C,Ipatinga,17/02/2021,31
3713A49D-E67E-4683-F859-B53CDC38BE2B,Ipatinga,21/02/2022,23
A545A9CE-A75F-3C6C-9588-F2C524A7B8FC,Itabuna,20/10/2021,72
F517BFEB-DE70-4863-553A-8D2993CA85C0,Itajaí,14/09/2021,95
81081C08-3200-4B3B-93F8-E114160EEBD6,Joinville,22/03/2021,56
EE6A4EA1-75DD-900E-A629-F8A2E257567D,Juazeiro,05/07/2021,90
CCAAFF70-FA2E-BF44-07A5-A98671D46C57,Juazeiro do Norte,12/06/2020,82
099955F5-470A-2C86-23FF-24942187E8F8,Juiz de Fora,15/02/2022,3
D1F8D9E1-762D-8D9E-22B6-842B559C5D68,Jundiaí,05/11/2020,84
F25F2547-2D45-E62C-B41A-41415380E6CC,Jundiaí,08/03/2020,94
B338D6EB-E28C-D968-64AE-01653E4DBF17,Jundiaí,16/05/2020,77
9E9BEA65-4EB4-269D-CC7F-97EC7C72F7FF,Jundiaí,17/06/2021,67
15CCDF8D-F0D2-6E1D-1C5E-713E381CCA09,Londrina,08/03/2021,8
F1217329-A501-89DB-B731-FE685388BC0F,Londrina,22/05/2021,92
5B639858-1FE9-09C6-A796-677E519E4ED9,Luziânia,07/05/2020,35
89CB8D1A-4842-AF51-5B6B-9721B5BEF73E,Maracanaú,07/10/2021,60
2256DDE3-ABE2-6C99-320E-0D6593A5DAA5,Maracanaú,24/04/2021,13
40BC5C70-688F-CCC9-C3B3-4CE777FCDA7A,Maranguape,10/06/2021,26
61B82765-F5FB-9A2E-D983-0D5C45463976,Mauá,21/11/2021,38
26B432CA-94E6-D881-7CC8-BB23F7BE1BAB,Mogi das Cruzes,07/01/2022,16
7ED61A73-5446-2F31-421D-09B882BA181B,Mogi das Cruzes,15/08/2021,53
170072E1-33F8-AC2D-6281-6A0B63632D28,Mogi das Cruzes,17/11/2020,9
A2B29614-16DB-B76D-3987-187A038CBB1B,Montes Claros,16/01/2021,68
5F1B0195-757D-432E-7D52-6FD8AE5F5881,Montes Claros,16/12/2021,36
35DFB445-1C38-2CBE-3E31-9EBA61BC4F88,Niterói,08/03/2020,22
A3876883-3C5C-1B28-D0FC-BEF8D80ED97C,Niterói,24/04/2021,69
D45668E7-11DF-E24B-DB58-3832F043EF1B,Novo Hamburgo,27/01/2022,86
64CE8B95-5482-48ED-B2B1-3589C5E2BF82,Olinda,25/03/2020,42
64DB49E1-3E82-696C-CA98-2DAAFEE8F167,Osasco,09/03/2020,43
0A61C903-EFCA-9640-F327-413B11F296A0,Osasco,13/10/2021,4
FE145E05-BBD9-BB4B-1AB9-7162F2BAED0D,Osasco,14/12/2020,100
7F949B25-9D0C-3B2E-908F-B0FF71BDC692,Paranaguá,07/11/2020,55
94E087AF-F79E-7D5C-6FC1-81AAE2E94F9E,Paço do Lumiar,16/11/2020,64
60041C4F-E438-6331-2E30-BE26068BFB2E,Pelotas,11/08/2020,37
62276E88-2D87-3260-2256-08EBBBFB7C29,Pelotas,30/01/2022,39
78000BF8-CFFF-E805-5FEB-0D679569B854,Petrópolis,05/03/2020,49
E83B284C-F1DC-F077-6892-4CF4261A02EC,Piracicaba,26/10/2020,89
AE55DBF4-479D-F966-BF66-AC752D7D9B32,Piracicaba,27/11/2020,76
A98389E4-179C-FC91-D2FE-FA6FD60989F3,Ponta Grossa,17/12/2020,74
0AC861DD-9901-6E32-D356-941AE7A1666C,Ponta Grossa,20/08/2021,5
A4CF7DA6-25C1-47D8-B14B-12FC4FEA84F6,Porto Alegre,09/08/2020,71
25DD27A1-7AA0-75E5-116D-16F16003D7D9,Ribeirão Preto,15/04/2020,14
BEB61167-EABB-5CC0-D963-903C50FA6EB5,Ribeirão Preto,15/04/2020,78
F59E6CF0-20DF-74F8-1CC7-1C3C38F83901,Ribeirão Preto,16/02/2022,96
6962C95C-5A03-D467-B28E-3E6ACA249858,Ribeirão Preto,18/04/2021,45
BF326F25-6094-20CD-9B71-CEF96A0D080C,Ribeirão Preto,19/05/2020,79
06EBBCBB-954A-E521-8251-9AA7E1C551D1,Rio Verde,03/05/2020,2
F18D8925-3005-0BFC-30AF-1D671CBA1BDF,Rio Verde,16/05/2020,93
D36B002A-7E36-73DD-50FC-BB2037862985,Salvador,08/05/2020,85
F6577FD8-36AD-F075-A172-18A6D1ADBB89,Salvador,29/03/2021,97
81128177-D53D-F3FF-24E6-A0133ABC28E3,Santa Luzia,27/11/2021,57
499DBDBF-6C94-E3F5-9F76-CD130095A1D5,Santa Maria,13/02/2021,30
48A1289B-43AB-6BDC-0EE0-62A07F9E4768,Santarém,07/08/2020,29
69FB5A1D-36F8-8DF3-59C3-40511B3A18EA,Sete Lagoas,04/09/2021,46
F08A231C-98D5-2EC4-7611-6192577FAC9E,Sobral,01/05/2020,91
4320E476-F743-83FB-5314-B035B1935B44,São Gonçalo,20/11/2021,28
A907FBBF-71F8-498E-6473-8C5922617CA9,São João de Meriti,25/07/2020,73
0F4BAA77-231F-3205-ED09-6F541A0A52E8,Uberlândia,17/05/2021,6
7D022716-5D5F-5F6D-FD5C-2F259D8F0FF3,Vitória da Conquista,22/07/2021,51
AE428228-9172-B9D5-27E5-AF8F7941280D,Vitória da Conquista,24/06/2021,75
FAA12A3B-A770-0293-A324-B65F1974FA96,Vitória da Conquista,29/06/2021,99
2B64EAA1-5A47-CF63-4752-C505C98C76C8,Águas Lindas de Goiás,17/05/2021,19
8F7D978B-EC5A-07E7-F1C6-399A694D8556,Águas Lindas de Goiás,29/11/2020,62
